ISBN,Title,Authors,Publication Date,Star Rating,Number of Ratings,Price,Format,URL
9781801074322,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Kukreja,2021-10-22,4.7,58,36.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-apache-spark-delta-lake-and-lakehouse-9781801074322
9781805126850,Data Engineering with AWS Cookbook: A recipe-based approach to help you tackle data engineering problems with AWS services,"Trâm Ngọc Phạm, Gonzalo Herreros González, Viquar  Khan, Huda Nofal",2024-11-29,,,37.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-aws-cookbook-9781805126850
9781804614327,Data Engineering with Scala and Spark: Build streaming and batch pipelines that process massive amounts of data using Scala,"Eric Tome, Rupam Bhattacharjee, David Radford",2024-01-31,4.2,5,27.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-scala-and-spark-9781804614327
9781800569041,Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,Eagar,2021-12-29,4.7,24,48.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-aws-9781800569041
9781803231983,Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,Paul Houghton,2022-06-30,4.8,11,35.99,eBook,https://www.packtpub.com/en-gb/product/data-engineering-with-alteryx-9781803231983
9781804612095,Data Observability for Data Engineering: Proactive strategies for ensuring data accuracy and addressing broken data pipelines,"Michele Pinto, Sammy El Khammal",2023-12-29,5,2,27.99,eBook,https://www.packtpub.com/en-gb/product/data-observability-for-data-engineering-9781804612095
9781803235004,"Azure Data Engineering Cookbook: Get well versed in various data engineering techniques in Azure using this recipe-based guide
            , Second Edition","Nagaraj Venkatesan, Ahmad Osama",2022-09-26,4.6,13,39.99,eBook,https://www.packtpub.com/en-gb/product/azure-data-engineering-cookbook-9781803235004
9781800201545,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,"Ahmad Osama, Nagaraj Venkatesan",2021-04-05,4.2,12,36.99,eBook,https://www.packtpub.com/en-gb/product/azure-data-engineering-cookbook-9781800201545
9781801810715,Simplifying Data Engineering and Analytics with Delta: Create analytics-ready data that fuels artificial intelligence and business intelligence,Anindita Mahapatra,2022-07-29,4.9,15,35.99,eBook,https://www.packtpub.com/en-gb/product/simplifying-data-engineering-and-analytics-with-delta-9781801810715
9781835468999,Big Data on Kubernetes : A practical guide to building efficient and scalable data solutions,Neylson Crepalde,2024-07-19,,,29.99,eBook,https://www.packtpub.com/en-gb/product/big-data-on-kubernetes-9781835468999
9781835469378,Managing Data as a Product: Design and build data-product-centered socio-technical architectures,Andrea Gioia,2024-11-29,,,33.99,eBook,https://www.packtpub.com/en-gb/product/managing-data-as-a-product-9781835469378
9781801814485,CompTIA CASP+ CAS-004 Certification Guide: Develop CASP+ skills and learn all the key topics needed to prepare for the certification exam,Mark Birch,2022-03-03,4.6,64,37.99,eBook,https://www.packtpub.com/en-gb/product/comptia-casp-cas-004-certification-guide-9781801814485
9781801814522,Automated Machine Learning on AWS: Fast-track the development of your production-ready machine learning applications the AWS way,Trenton Potgieter,2022-04-15,4.9,10,36.99,eBook,https://www.packtpub.com/en-gb/product/automated-machine-learning-on-aws-9781801814522
9781835464786,Go Recipes for Developers: Top techniques and practical solutions for real-life Go programming problems,Burak Serdar,2024-12-30,,,29.99,eBook,https://www.packtpub.com/en-gb/product/go-recipes-for-developers-9781835464786
9781836209140,"Data Contracts in Practice: Master data contracts to boost efficiency, align data understanding, and support data governance",Ryan Collingwood,2025-05-30,,,31.99,eBook,https://www.packtpub.com/en-gb/product/data-contracts-in-practice-9781836209140
9781838988654,Hands-On Simulation Modeling with Python: Develop simulation models to get accurate results and enhance decision-making processes,Giuseppe Ciaburro,2020-07-17,4.3,8,48.99,eBook,https://www.packtpub.com/en-gb/product/hands-on-simulation-modeling-with-python-9781838988654
9781801070416,The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,David Ping,2022-01-21,5,25,67.99,eBook,https://www.packtpub.com/en-gb/product/the-machine-learning-solutions-architect-handbook-9781801070416
9781788999465,Hands-On Penetration Testing with Python: Enhance your ethical hacking skills to build automated and intelligent systems,Furqan Khan,2019-01-31,3.7,3,32.99,eBook,https://www.packtpub.com/en-gb/product/hands-on-penetration-testing-with-python-9781788999465
9781789340617,"Mastering Kali Linux for Advanced Penetration Testing: Secure your network with Kali Linux 2019.1 – the ultimate white hat hackers' toolkit
            , Third Edition","Vijay Kumar Velu, Robert Beggs",2019-01-30,4.4,8,54.99,eBook,https://www.packtpub.com/en-gb/product/mastering-kali-linux-for-advanced-penetration-testing-9781789340617
9781800565524,"Automated Machine Learning: Hyperparameter optimization, neural architecture search, and algorithm selection with cloud platforms",Adnan Masood,2021-02-18,4.5,15,36.99,eBook,https://www.packtpub.com/en-gb/product/automated-machine-learning-9781800565524
9781784391096,DynamoDB Cookbook: Over 90 hands-on recipes to design Internet scalable web and mobile applications with Amazon DynamoDB,Deshpande,2015-09-25,3.9,8,36.99,eBook,https://www.packtpub.com/en-gb/product/dynamodb-cookbook-9781784391096
9781803244051,"Kibana 8.x – A Quick Start Guide to Data Analysis: Learn about data exploration, visualization, and dashboard building with Kibana",Shah,2024-02-29,5,3,26.99,eBook,https://www.packtpub.com/en-gb/product/kibana-8x-a-quick-start-guide-to-data-analysis-9781803244051
9781805128687,"The Self-Taught Cloud Computing Engineer: A comprehensive professional study guide to AWS, Azure, and GCP",Dr. Logan Song,2023-09-22,5,180,33.99,eBook,https://www.packtpub.com/en-gb/product/the-self-taught-cloud-computing-engineer-9781805128687
